SPIELER,TORE,7M,%,TF,V,2',D
Brenzikofer André,0,0,,1,0,0,0
Römer Leandro Maurin,0,0,,,0,1,0
Targise Giuliano,2/3,0,66,1,0,1,0
Kiener Nils,3/6,0,50,,1,1,0
Römer Flavian,5/9,0,55,1,0,0,0
Zahm Justin John Werner,2/2,0,100,1,0,0,0
Stettler Luc Eric,2/3,0,66,3,0,1,0
Ebner Leo Aliou,0,0,,,0,0,0
Plüss Thierry Lionardo Bonaventura,0,0,,,0,0,0
Baumann Yanic Simon,4/8,0/2,50,5,0,0,0
Schweizer Micha,3/7,0,42,1,1,0,0
Roth Alexander,1/4,0,25,2,0,1,0
Rudin Sebastian,1/1,0,100,,1,1,0
Adamina Lorin,0/1,0,0,,0,0,0
