SPIELER,TORE,7M,%,TF,V,2',D
Brenzikofer André,0,0,,,0,0,0
Hermann Janis Lukas,0/1,0,0,,0,0,0
Römer Leandro Maurin,0/2,0,0,,0,3,0
Targise Giuliano,3/3,0,100,1,0,0,0
Kiener Nils,0/2,0,0,,0,1,0
Römer Flavian,6/10,0,60,1,0,0,0
Stettler Luc Eric,2/3,0,66,2,0,0,0
Ebner Leo Aliou,0,0,,,0,0,0
Plüss Thierry Lionardo Bonaventura,1/2,0,50,,1,1,0
Baumann Yanic Simon,7/12,1/1,58,,0,0,0
Schweizer Micha,5/9,0,55,,1,0,0
Roth Alexander,1/1,0,100,2,1,0,0
Egger David Philip,2/2,0,100,2,0,0,0
Adamina Lorin,2/6,0,33,,0,0,0
