SPIELER,TORE,7M,%,TF,V,2',D
Brenzikofer André,0,0,,,0,0,0
Römer Leandro Maurin,2/2,0,100,3,0,0,0
Kiener Nils,2/2,0,100,1,0,0,0
Zuege Jan,1/2,0,50,,0,0,0
Römer Flavian,8/13,0,61,4,1,1,0
Zahm Justin John Werner,2/2,0,100,,0,0,0
Stettler Luc Eric,2/5,0,40,2,0,1,0
Ebner Leo Aliou,0,0,,,0,0,0
Plüss Thierry Lionardo Bonaventura,2/4,0,50,,0,0,0
Baumann Yanic Simon,15/20,2/2,75,3,1,1,0
Schweizer Micha,1/2,0,50,3,0,1,0
Roth Alexander,0/1,0,0,,0,0,0
Aebi Fabian Timon,0,0,,,0,0,0
Rudin Sebastian,0,0,,,1,0,0
