SPIELER,TORE,7M,%,TF,V,2',D
Pena Perez Dave León,0,0,,,0,0,0
Hermann Janis Lukas,0,0,,1,0,0,0
Römer Leandro Maurin,5/5,0,100,1,0,1,0
Baumann Joshua,4/6,0,66,2,0,1,0
Kiener Nils,1/2,0,50,3,0,0,0
Egger David Philip,2/4,0,50,1,0,1,0
Rudin Sebastian,3/4,0,75,,0,0,0
Zahm Justin John Werner,3/4,0,75,,0,0,0
Zwicky Andrin,1/1,0,100,1,1,1,0
Stettler Luc Eric,12/13,4/4,92,,0,0,0
Ebner Leo Aliou,0,0,,,0,0,0
Plüss Thierry Lionardo Bonaventura,4/9,0,44,2,0,0,0
Schranz Louis Orlando,3/3,0,100,1,1,0,0
Aebi Fabian Timon,2/3,0,66,,0,0,0
