SPIELER,TORE,7M,%,TF,V,2',D
Pena Perez Dave León,0,0,,,0,0,0
Hermann Janis Lukas,0,0,,,0,0,0
Römer Leandro Maurin,1/2,0,50,,1,1,0
Kiener Nils,3/3,0,100,,0,0,0
Egger David Philip,1/1,0,100,,0,0,0
Rudin Sebastian,3/4,0,75,,1,0,0
Zwicky Andrin,0,0,,,0,0,0
Stettler Luc Eric,8/16,1/4,50,2,1,2,0
Ebner Leo Aliou,0,0,,,0,0,0
Plüss Thierry Lionardo Bonaventura,3/5,0,60,1,0,1,0
Hirsch Elias Benjamin,0,0,,,0,0,0
Schranz Louis Orlando,2/3,0,66,1,0,0,0
Rusch David,0/2,0,0,1,0,0,0
Adamina Lorin,1/1,0,100,,0,0,0
