SPIELER,TORE,7M,%,TF,V,2',D
Preusser Michael,0,0,,,0,0,0
Fuster Tino,1/1,0,100,1,0,0,0
Von Wartburg Micha,0/2,0,0,,0,0,0
Gasic Milan,3/4,1/1,75,1,1,0,0
Kienast Simon,3/8,0,37,1,0,0,0
Targise Alessandro,3/5,0,60,1,0,0,0
Schneeberger Remo,0/1,0,0,2,0,0,0
Tschanz Timon,1/6,0,16,3,0,0,0
Schüpbach Manuel,1/5,1/1,20,2,1,1,0
Jutzi Florian,3/8,0,37,,1,0,0
Jutzi Thomas,2/4,0/1,50,1,0,1,0
Blaser Dominic,2/4,0,50,1,0,0,0
Schüpbach Benjamin,0,0,,,0,0,0
