SPIELER,TORE,7M,%,TF,V,2',D
Brenzikofer André,0,0,,,0,0,0
Römer Leandro Maurin,3/3,0,100,,0,1,0
Targise Giuliano,1/2,0,50,,0,0,0
Kiener Nils,2/3,0,66,2,0,0,0
Römer Flavian,4/20,0,20,1,1,1,0
Zahm Justin John Werner,1/1,0,100,,0,0,0
Stettler Luc Eric,2/3,0,66,2,1,1,0
Ebner Leo Aliou,0,0,,,0,0,0
Plüss Thierry Lionardo Bonaventura,3/3,0,100,1,0,0,0
Baumann Yanic Simon,12/16,4/4,75,1,0,0,0
Schweizer Micha,4/8,0,50,1,1,0,0
Roth Alexander,2/2,0,100,1,0,0,0
Rudin Sebastian,0,0,,,0,0,0
Adamina Lorin,0,0,,,0,0,0
